generation,fitness,num_features
0,0.14065372255590458,6
1,0.15141004978513634,7
2,0.15141004978513634,7
3,0.15141004978513634,7
4,0.1635055034110043,5
5,0.1635055034110043,5
6,0.1841582064710055,5
7,0.1841582064710055,5
8,0.1841582064710055,5
9,0.1841582064710055,5
10,0.1841582064710055,5
11,0.1841582064710055,5
12,0.1841582064710055,5
13,0.1841582064710055,5
14,0.1841582064710055,5
15,0.1841582064710055,5
16,0.1841582064710055,5
17,0.1851604573453757,5
18,0.1851604573453757,5
19,0.1851604573453757,5
