feature,weight
wmc,0.039484180782321146
dit,0.06371160988774854
noc,0.01536539295709237
cbo,0.012525070120738151
rfc,0.09064927408249074
lcom,0.03687305890307563
ca,0.019891987530075664
ce,0.04881869054920039
npm,0.05331075040826541
lcom3,0.06351498287140783
loc,0.018474746666200137
dam,0.032469683529623566
moa,0.08182674773900933
mfa,0.052459879630818974
cam,0.035478215152003466
ic,0.06562202850613942
cbm,0.048397959509054664
amc,0.05141869949909356
max_cc,0.07273693253315887
avg_cc,0.0969701091424822
